gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8690570557350,,Strepsils Herbal Defence Afrika Sardunyası 16 Pastil,,Sağlık Ve Medikal > Hijyen Ürünleri,225,3,t,strepsils-herbal-defence-afrika-sardunyasi-16-pastil
9002969872248,,Hyper Immun44 Likit 150 ml,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,216,2,t,hyper-immun44-likit-150-ml
8697595871713,,Ocean Çörek Otu Yağı 60 Kapsül 2'li Set,Ocean,Besin Takviyeleri > Bitkisel Yağlar,203,2,t,ocean-corek-otu-yagi-60-kapsul-2li-set
8680645530968,,Nbt Life Endofer 30 Kapsül,,Besin Takviyeleri > Minareller > Demir Mineralleri,198,2,t,nbt-life-endofer-30-kapsul
3660398503926,,"Biorga Cystiphane L-Sistin, Çinko, L-Arjinin, Vitamin B6 İçeren Takviye Edici Gıda 120 tablet",,Besin Takviyeleri > Minareller > Çinko Mineralleri,190,2,t,biorga-cystiphane-l-sistin-cinko-l-arjinin-vitamin-b6-iceren-takviye-edici-gida-120-tablet
8680807008632,,Voonka CoQ10 200mg 30 Kapsül,Voonka,Besin Takviyeleri > Antioksidanlar > Koenzim Q10 Takviyeleri,187,1,t,voonka-coq10-200mg-30-kapsul
8699550350028,,Mediwell Dudak Bakım Kremi - Çilek 5ml,,Cilt Bakımı > Dudak Bakım Ürünleri > Dudak Nemlendiriciler,187,1,t,mediwell-dudak-bakim-kremi-cilek-5ml
3331300097238,,Sterimar Baby Deniz Suyu Burun Spreyi 50ml,Sterimar,Sağlık Ve Medikal > Burun Açıcı Ürünler,183,3,t,sterimar-baby-deniz-suyu-burun-spreyi-50ml
8699555001235,,Şanlı Kapsikumlu Delikli Yakı 3 Adet,Şanlı,Sağlık Ve Medikal > Eklem Sağlığı,181,1,t,sanli-kapsikumlu-delikli-yaki-3-adet
8697595870969,,Ocean İmunol 40 Kapsül,Ocean,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,180,3,t,ocean-imunol-40-kapsul
8699753283512,,Okey Rotar Plus 10'lu,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Prezervatifler,179,3,t,okey-rotar-plus-10lu
33984010802,,Solgar Folic Acid (Folacin) 400 mcg 100 Tablet,,Besin Takviyeleri > Vitaminler > Folic Acid,179,2,t,solgar-folic-acid-folacin-400-mcg-100-tablet
8683229600774,,Viaxi Glide Kayganlaştırıcı Jel 50 ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Kayganlaştırıcı Jeller,176,2,t,viaxi-glide-kayganlastirici-jel-50-ml
30157606,,Promosyon - La Roche Posay Effaclar Tonik 15 ml,,Promosyonlar - Hediye Ürünler,169,1,t,promosyon-la-roche-posay-effaclar-tonik-15-ml
8690998216006,,Apitera Arı Sütü 30 Kapsül,Balparmak,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,161,2,t,apitera-ari-sutu-30-kapsul
5052197058000,,Durex Play Hisset  Jel 50ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Kayganlaştırıcı Jeller,160,2,t,durex-play-hisset-jel-50ml
8850956393778,,Okey Çifte Haz Prezervatif 10'lu,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Prezervatifler,157,3,t,okey-cifte-haz-prezervatif-10lu
8683060770063,,Enterogermina Family Probiyotik - 5 ml x 10 Flakon -,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,155,3,t,enterogermina-family-probiyotik-5-ml-x-10-flakon
8680512613145,,Nutraxin Artroflex Hyaluronic Acid  HYA-C-II 90 Tablet,Nutraxin,Besin Takviyeleri > Eklem Sağlığı Ürünleri > Glukozamine Ürünleri,152,3,t,nutraxin-artroflex-hyaluronic-acid-hya-c-ii-90-tablet
8680434220055,,CC II Plus+ Masaj Jeli 100ml x 2 Adet,Matriks İlac,Sağlık Ve Medikal > Eklem Sağlığı,147,1,t,cc-ii-plus-masaj-jeli-100ml-x-2-adet
8681807005171,,Büyüvit L Arginin Multivitamin ve Mineraller içeren Şurup 150ml,,Besin Takviyeleri > MultiVitaminler,147,2,t,buyuvit-l-arginin-multivitamin-ve-mineraller-iceren-surup-150ml
4043752393545,,Varta Kulak Pili No: 675 6lı,Varta,Sağlık Ve Medikal > Medikal > Piller,145,3,t,varta-kulak-pili-no-675-6li
8697595871508,,Ocean Çörek Otu Yağı 60 Kapsül,Ocean,Besin Takviyeleri > Bitkisel Yağlar,143,2,t,ocean-corek-otu-yagi-60-kapsul
8683229900607,,Venatura CoQ-10 Koenzim Q10 200 mg Takviye Edici Gıda 30 Kapsül,VeNatura,Besin Takviyeleri > Antioksidanlar > Koenzim Q10 Takviyeleri,136,2,t,venatura-coq-10-koenzim-q10-200-mg-takviye-edici-gida-30-kapsul
5021265220236,,Vitabiotics Osteocare Original 90 Tablet,,Besin Takviyeleri > Minareller > Kalsiyum Mineralleri,136,1,t,vitabiotics-osteocare-original-90-tablet
850081345114,,Ocean Day2Day The Collagen Beauty Intense Ananas Aromalı 45 Saşe,Ocean,Besin Takviyeleri > Kolajen,134,2,t,ocean-day2day-the-collagen-beauty-intense-ananas-aromali-45-sase
4015672114319,,Omron M3 Comfort Afib HEM-7196-FLE Koldan Dijital Tansiyon Aleti,Omron,Sağlık Ve Medikal > Medikal > Tansiyon Aletleri,134,2,t,omron-m3-comfort-afib-hem-7196-fle-koldan-dijital-tansiyon-aleti
8699546196319,,Priorin İntense 120 Kapsül,,Saç Bakımı > Saç Bakım Vitamin Takviyeleri,134,2,t,priorin-intense-120-kapsul
8697595871621,,Ocean D3K2 Damla 20ml,Ocean,Besin Takviyeleri > Vitaminler > D3 K2 Vitamini,132,2,t,ocean-d3k2-damla-20ml
8699514151302,,Moodify Safran 30 Kapsül,Abdi İbrahim,Besin Takviyeleri > Uyku Destek Ürünleri,128,1,t,moodify-safran-30-kapsul
8680400772176,,Haver Sitikolin Cognizin 500mg 30 Kapsül,,Besin Takviyeleri > Hafıza Sağlığı,128,1,t,haver-sitikolin-cognizin-500mg-30-kapsul
8683060770124,,Enterogermina Kids 2-10 Yaş Probiyotik - 5 ml x 10 Flakon -,Enterogermina,Besin Takviyeleri > Sindirim Sistemi Ve Probiyotikler > Bebek & Çocuklar İçin Probiyotikler,121,2,t,enterogermina-kids-2-10-yas-probiyotik-5-ml-x-10-flakon
8681291003653,,Parodontax Diş Eti & Hassasiyet & Ferahlık & Beyazlatıcı Diş Macunu 75ml,Parodontax,Kişisel Bakım > Ağız Bakım Ürünleri > Diş Macunları > Yetişkin Diş Macunu,120,2,t,parodontax-dis-eti-hassasiyet-ferahlik-beyazlatici-dis-macunu-75ml
8680133000492,,Nemolix Plus 30 Tablet,,Besin Takviyeleri > Eklem Sağlığı Ürünleri > Glukozamine Ürünleri,119,2,t,nemolix-plus-30-tablet
3337875665582,,La Roche Posay Termal Su 50 ml,,Promosyonlar - Hediye Ürünler,116,1,t,la-roche-posay-termal-su-50-ml
8699540590052,,"NBL Probiotic Drop 7,5 ml",NBL,Besin Takviyeleri > Sindirim Sistemi Ve Probiyotikler,115,1,t,nbl-probiotic-drop-75-ml
6970384254303,,Nimo Otomatik Türkçe Konuşan Koldan Ölçer Tansiyon Aleti  ( LD-527 ),Nimo,Sağlık Ve Medikal > Medikal > Tansiyon Aletleri,114,2,t,nimo-otomatik-turkce-konusan-koldan-olcer-tansiyon-aleti-ld-527
8683655089983,,Voonka Multi Collagen 90 Tablet Tip 1/2/3,Voonka,Besin Takviyeleri > Kolajen,114,2,t,voonka-multi-collagen-90-tablet-tip-123
4030571004660,,"Artelac Complete Göz Damlası 30 Flakon 0,5 ml",Artelac,Sağlık Ve Medikal > Göz Sağlığı Ürünleri,113,1,t,artelac-complete-goz-damlasi-30-flakon-05-ml
8680061000014,,Enfla-C 30 Kapsül,MediTech,Besin Takviyeleri > Bitkisel Besin Destekleri,112,2,t,enfla-c-30-kapsul
8683675618248,,LeeRoy Kids Magnezyum Sitrat+B6  60 Tablet,,Besin Takviyeleri > Minareller > Magnezyum Mineralleri > Magnezyum Bisglisinat,111,1,t,leeroy-kids-magnezyum-sitratb6-60-tablet
8684068088495,,Tru Niagen 300mg 30 Kapsül,Cronos Pharma,Besin Takviyeleri > MultiVitaminler,110,1,t,tru-niagen-300mg-30-kapsul
8682048493615,,Delta P-5-P Vitamin B6 100ml x 2 Adet,Delta Naturel,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bağışıklık Sistemi Güçlendirici Şuruplar,110,1,t,delta-p-5-p-vitamin-b6-100ml-x-2-adet
8690730000696,,Esemmat Sivrisineklere Karşı Elektrolikit Yedek 45 Gece,,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,110,3,t,esemmat-sivrisineklere-karsi-elektrolikit-yedek-45-gece
8683655089624,,Voonka Collagen Bonafix 90 Tablet,Voonka,Besin Takviyeleri > Kolajen,106,2,t,voonka-collagen-bonafix-90-tablet
8690712028069,,Zade Vital Nigefix Sprey 15 ml,Zade Vital,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme,106,2,t,zade-vital-nigefix-sprey-15-ml
8683324453701,,Colamerim 30 Tablet,,Besin Takviyeleri > Kolajen,105,2,t,colamerim-30-tablet
8690712019807,,Zade Vital Sistifix 20 Kapsül,Zade Vital,Besin Takviyeleri > Bitkisel Besin Destekleri,102,2,t,zade-vital-sistifix-20-kapsul
8852961023183,,Okey Zero Ultra İnce 10'lu Prezervatif,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Prezervatifler,101,2,t,okey-zero-ultra-ince-10lu-prezervatif
3264680022647,,Promosyon - Nuxe Sun Güneş Sonrası Şampuan 100 ml,,Promosyonlar - Hediye Ürünler,100,1,t,promosyon-nuxe-sun-gunes-sonrasi-sampuan-100-ml
