gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8693283010044,,Kuteks Sargı Bezi 15 cm,Kuteks,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Pansuman Örtüleri,540,3,t,kuteks-sargi-bezi-15-cm
8680512627265,,Nutraxin Probiota Advanced 60 Tablet,Nutraxin,Besin Takviyeleri > Probiyotik & Prebiyotik,537,3,t,nutraxin-probiota-advanced-60-tablet
8680645530869,,NBT Life Cognilife 60 Kapsül,Nbt Life,Besin Takviyeleri,535,2,t,nbt-life-cognilife-60-kapsul
4015672114135,,Omron Mini Air 360+ Taşınabilir Nebilizatör,Omron,Anne Bebek > Bebek Bakım > Bebek Buhar Makinası,535,3,t,omron-mini-air-360-tasinabilir-mesh-nebulizator
8690998215481,,Apitera Propolisli Çocuk Spreyi 20 ml,Balparmak,Besin Takviyeleri > Takviye Edici Gıdalar > Ağız & Boğaz Spreyi,532,2,t,balparmak-apitera-plus-propolisli-cocuk-spreyi-20-ml
4015672113985,,Omron M2+ Digital Koldan Ölçer Tansiyon Aleti,Omron,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Tansiyon Aleti,529,2,t,omron-m2-digital-koldan-olcer-tansiyon-aleti
8680287030185,,Sambucol Plus Sekersiz Takviye Edici Gida 120 ml,Sambucol,Besin Takviyeleri > Mineral > Çinko,527,2,t,sambucol-kara-murver-plus-sekersiz-120ml
8697595871775,,Efervit Defence 20 Efervesan Tablet - 2.si %50 İndirimli,Orzax,Besin Takviyeleri > Mineral > Çinko,526,3,t,ocean-efervit-defence-2x20-efervesan-tablet
8680512630357,,Nutraxin Collagen 30 Tablet,Nutraxin,Besin Takviyeleri > Kolajen > Kolajen Tip 1-3,525,3,t,nutraxin-beauty-collagen-gold-30-tablet
8680512628392,,Nutraxin Mens Multi Vitamin Complex 60 Tablet,Nutraxin,Besin Takviyeleri > Takviye Edici Gıdalar > Multivitamin,523,2,t,nutraxin-mens-multi-vitamin-complex-60-tablets
7391899857527,,Renu Advanced Lens Solüsyon 360 ml + 100 ml,RENU,Sağlık Ve Medikal,522,2,t,renu-advanced-lens-solusyonu-360-100-ml-tanisma-paketi
850069594817,,Ocean Extramag 60 Tablet,Ocean,Besin Takviyeleri > Mineral > Magnezyum,519,3,t,ocean-extramag-uclu-kombinasyon-takviye-edici-gida-60-tablet
8680512627012,,Nutraxin Zinc 15 mg 100 Tablet,Nutraxin,Besin Takviyeleri > Mineral > Çinko,516,2,t,nutraxin-zinc-15-mg-100-tablet
8680512627463,,Nutraxin Calcium Magnesium Plus Collagen B 90 Tablet,Nutraxin,Besin Takviyeleri > Kolajen,515,3,t,nutraxin-osteo-b-one-formula-kolajen-takviye-edici-gida-90-tablet
